Tags (Positive),Tags (Negatives),Agg,Rank1,Rank2,Rank3,"Rationale (From the left, 1st = Static, 2nd = Baseline, 3rd = Simple, 4th = Elaborate)"
Clear Metaphor,,avg,elaborate,simple,baseline,"for average, it really helps to see the 'area under the curve', to emphasize that selected line really is an average, supported by equal shaded area (by lines)"
,Animation Should Be Slower,avg,elaborate,simple,baseline,Having a reference point to compare the average to the data points first is important. If the last transition was a bit slower I think it would be even better.
Understandable,,avg,elaborate,simple,baseline,"Having a trace of how the calculations map to the average is useful, as well as a reference line that is the goal of the calculation. Collapsing is a good way to show an aggregate calculation."
,,avg,elaborate,simple,baseline,"I chose #1 and #2 first because I like the line that appears. This shows that the new points are not the same as any of the original points, which differentiates it from an average. I like #1 more than #2 because I think the lines show even more that it is between all the original points. I like #3 more than #4 because the animation did somewhat show that the new points were in the middle of the old points, hinting at an average."
,,avg,elaborate,simple,baseline,I feel like the third one and the fourth one give me the same feeling smooth animation
,,avg,elaborate,simple,baseline,I like extra lines when it comes to understading averge
,,avg,elaborate,simple,baseline,I like the 1st that it greatly shows the reason of the average forming up. The 4th is the worst since nobody knows why it is average by just transferring into two dots. 2nd has the indicator for the average value.
,More complicated = better,avg,elaborate,simple,baseline,"I like the last one with the fancy animation, but I do think the second from the left is enough for the most cases"
,,avg,elaborate,simple,baseline,I liked how it showed the difference from the values to average showing clearly the average that the values were to converge to.
,,avg,elaborate,simple,baseline,I liked the first graph because you could see the relationship between the average and the rest of the data points in an informative but quick manner. I liked the second graph because the line was drawn which indicates that the average doesn't have to be a particular data point. I thought the 3rd and fourth graph were more ambiguous
,,avg,elaborate,simple,baseline,I liked the graphs that visualize the average immediately and let you kind of confirm this in your head when you look at the lengths up and lengths down
,Metaphor Unclear,avg,elaborate,simple,baseline,I think the animation of seeing all the bars representing points that are below the average or above the average helped me decide that. The rest to me seemed very confusing and I ranked based on how smooth the animations are.
Clear Metaphor,,avg,elaborate,simple,baseline,"In the last one, the grid lines of each data point makes it clear that upper ones hold the same area as the lower ones."
,,avg,elaborate,simple,baseline,"It's better to see the dots converging, but also important to see why the dots are converging"
,,avg,elaborate,simple,baseline,"It's nice to have an explanation of how the average was found so 4 and 3 which have none to little explanations aren't as appealing. Since I know that the first animation in 1 is summation, it is easier to tell how the visualization arrived at the average."
,,avg,elaborate,simple,baseline,More visual aid the better to make it easy to understand
,,avg,elaborate,simple,baseline,"My 1st choice shows the 'area' that the elements on either side of the mean contribute to the mean, giving a good sense of it. Between 2nd/3rd, the line through the mean helps orient where the points are moving. 4th's transition was hard to clearly tell what it was doing (mean vs median, etc)."
Appealing,,avg,elaborate,simple,baseline,"Same as the others, how appealing and how it shows the work done."
,,avg,elaborate,simple,baseline,Showing how all the values factor into the average as in the last graph helps the user see what the average mean across the data points.
,,avg,elaborate,simple,baseline,Showing how the middle point is being derived based on the relative position to the bottom axis
Clear Metaphor,,avg,elaborate,simple,baseline,"The 1st and 2rd ones make it really hard to understand whether its mean or median. The 3rd one is more effective since the line is not at a point, so the audience knows its probably conveys the average. The 4th is the most effective since it agrees with my idea of exactly what average is, so there is no elimination involved."
,,avg,elaborate,simple,baseline,"the added bars show that it's considering the values, which shows average better"
Clear Metaphor,,avg,elaborate,simple,baseline,"The fourth chart shows the distance of each point to the average, which is clear. The second and third chart actually are in a tie, in that they both provides the transition of each data point to the average. The first chart is worse since it does not have any transition."
,,avg,elaborate,simple,baseline,The fourth one can better persuade me that is the average
,,avg,elaborate,simple,baseline,"The last transition is the best for me because it shows not only where the average is with respect to the elements in the set, but also a quick bar chart showcasing where those points are with respect to that average. This describes the average the best. The third transition only shows where the average is with a line, which is what the last transition does, so it is second. The third transition only merges the points to that average, so it is only third. The first transition is static and provides no aid to describe the average, so it is last."
,,avg,elaborate,simple,baseline,"The one ranked 4th had no transition, so it was hard to tell the relation between the 1st and second chart. I ranked the one with the dots merging 3rd because it is hard to tell why the dots are merging and where they are merging to. The one with the dots merging to the line is 2nd because it gives the point where they are merging, if not why they are merging. The one with the bars are 1st because it the bars suggest why they are merging and the line tells us where they are merging to."
Clear Metaphor,,avg,elaborate,simple,baseline,"The one with the mini plots was effective since it showed what was going on.  The one with the horizontal lines was good because it showed where the average would be, and it is not always where a dot is.  The one without the horizontals was still better than static one"
,,avg,elaborate,simple,baseline,"The presentation of the average as a ""central"" value was most obvious when the values were discretized (fourth graphic), followed by when the average was highlighted (third graphic)."
,,avg,elaborate,simple,baseline,The use of the line to explicitly show where the new value of the point will be.
,,avg,elaborate,simple,baseline,"Transitions needed to see an operation is occurring, bars help quantify how it happens."
,,avg,elaborate,simple,baseline,Whether it marks the weight of each dot so that we know it's average not median
,,count,elaborate,simple,baseline,How appealing the visualization looks and how it shows the work done.
,,count,elaborate,simple,baseline,I decided the first and the second because it forms a column of points. This way it is easier for me to see that you are counting.
,,count,elaborate,simple,baseline,"ok, since I prefer smooth transition and good visual motion"
Clear Metaphor,,count,elaborate,simple,baseline,Showing how each value gets counted is intuitive before collapsing
Clear Metaphor,,count,elaborate,simple,baseline,Stacking the dots gives a sense of counting them while directly transitioning is not very helpful
Clear Metaphor,,count,elaborate,simple,baseline,The animation makes the transition much more clearer so 3rd and 4th chart are much better than the other two.
,,count,elaborate,simple,baseline,The sense of one by one counting makes it the clearest it is count.
Clear Metaphor,,count,elaborate,simple,baseline,"The way animation was used to build up the data points together, as if they were being counted in front of the viewer"
Clear Metaphor,,iqr,elaborate,simple,baseline,1st is very clear with discrete animations and a different color for each quartile. 2nd is good with coloring but the simultaneous animations are quite hard to track. 3rd may be confused with average and standard deviation. 4th is simply too abrupt to catch and also may be confused with average and standard deviation.
,,iqr,elaborate,simple,baseline,"4th and 3rd are similar to the previous graphs. 2nd and 1st are more useful than 3rd and 4th because of the color coding, but both 1st and 2nd could have been slower so that the animation was more clear. 1st is better than 2nd because of the staggering, which points to the fact that points are being counted and sorted into their range."
,,iqr,elaborate,simple,baseline,"Based on previous preference of median, the last one is clear that it is dealing with median."
More complicated = better,Measure Was Too Confusing,iqr,elaborate,simple,baseline,"I am not sure what interquartile range with median is, but the 1st one I choose looks more complicated animation so I like it more."
,Measure Was Too Confusing,iqr,elaborate,simple,baseline,I don't know what's Interquartile Range with Median but I think the last transition effectively shows the process of finding them.
Clear Metaphor,,iqr,elaborate,simple,baseline,I like the 4th one from the left the best because it show how the median is calculated.
,,iqr,elaborate,simple,baseline,"I liked #1 and #2 because the use of color made it clear that it was calculating a quartile since there were four different colors. I chose #1 over #2 because the animation further emphasized that it was splitting into quarters. I chose #3 over #4 because the animation was better than nothing, but I don't think #3 was more obviously interquartile range than #4."
,,iqr,elaborate,simple,baseline,I really like the transition where two points are accounted for at each step. This makes it easy to see that the ending scene is of a median and the interquartile range.
,,iqr,elaborate,simple,baseline,I should say this is very similar to the previous one. I should copy and paste.
,,iqr,elaborate,simple,baseline,"I'm not sure what interquartile range is, but I think the last two animations did a good job of expressing something related to four groups and the average"
,,iqr,elaborate,simple,baseline,median is showed better in highest ranked transition as compared to 2nd ranked
,,iqr,elaborate,simple,baseline,"Same as before, how appealing and how it shows the work done."
,,iqr,elaborate,simple,baseline,Showing how all the values factor into the median as in the last graph helps the user see what the average mean across the data points.
Clear Metaphor,,iqr,elaborate,simple,baseline,"Showing the process of dividing up the points by quartiles and color-coding it was really helpful for showing the interquartile ranges. The more they showed the process of dividing the points, the higher I ranked it"
,,iqr,elaborate,simple,baseline,smooth animation and transition rule everything and I can not find other reason.
,,iqr,elaborate,simple,baseline,"The color really helped, so did the lines. I like extra lines"
,,iqr,elaborate,simple,baseline,"The last two charts are in a tie. The third one demonstrate how the range is formed, and the fourth one demonstrates how the  median was found. The second chart's transition actually has nothing to do with standard deviation or median. It is basically the same as the first one."
Understandable,,iqr,elaborate,simple,baseline,The median was most obviously computed in the fourth graphic (because of the counting-inwards animation).
,,iqr,elaborate,simple,baseline,The more visual aid the better and easier to understand
,,iqr,elaborate,simple,baseline,"This time I find the extra animation helpful because the computation is more complex, and the transitions and movement help show how each point contributes to the calculation."
,,iqr,elaborate,simple,baseline,Whether it shows the middle line is median and it's a quartile on each side
,Annoying,median,elaborate,simple,baseline,"1st and second place are interchangable. They both capture the idea of points ""canceling each other out"", although the more involved animation could become annoying on more data."
,,median,elaborate,simple,baseline,1st is great since it counts each discrete data point one by one until the center value. 2nd is good as it also divides the two halves into separate colors. 3rd may be confused to average. 4th is simply too abrupt to catch.
,,median,elaborate,simple,baseline,"4th is abrupt and unclear like on the previous graphs. 3rd is better than 4th because in this case you see the median appear while the other dots fade, but this isn't going to be the case if Set 1 has an odd number of numbers. 2nd puts a clear split between the points which is helpful, but 1st does this even better since it seems to count for the audience, letting them know that they are going one by one from each end of the set. If there are too many data points to clearly see that there are equal counts above and below the median, then 2nd is much less effective than 1st."
,,median,elaborate,simple,baseline,Having the line drop down is very clear that we are finding the median
,,median,elaborate,simple,baseline,how smooth the transition and animation could be and how good those feature could be presented
,,median,elaborate,simple,baseline,How the transitions display that a central item was chosen.
Understandable,,median,elaborate,simple,baseline,I like 1st one the most because it actually count the median in animation so that people watching this has a better sense that it's a median. Even people do not now what is median will understand what the chart is trying to show.
,,median,elaborate,simple,baseline,I like how it counted from up and down to get the median
,,median,elaborate,simple,baseline,I like that it looks like both sides are being counted in front of the viewer
Understandable,,median,elaborate,simple,baseline,"I liked #1 and #2 the best because the use of color and line clearly demonstrates that it is finding a midpoint and half are above the line and half are below. I chose #1 over #2 because the moving line implied that it is moving towards the middle by counting from the edge, which made it more clearly median as opposed to average. I chose #3 over #4 because I liked the animation more than nothing."
,,median,elaborate,simple,baseline,I loved the last one because I was sure it was the median because each step eliminated the outer two data points. However it was a bit fast in the end.
,,median,elaborate,simple,baseline,"In the last one, the one by one counting towards the middle part"
,,median,elaborate,simple,baseline,"In the transition marked first, the counting down on each point gives the clear sense that median is the measure being taken on the data."
Understandable,,median,elaborate,simple,baseline,Showing how all the values factor into the median as in the last graph helps the user see what the median means across the data points. Usage of color and counting of points on each side of bar also really helps.
,,median,elaborate,simple,baseline,"Since median is often computed by counting in from the side, the fourth graphic presents it most naturally."
,,median,elaborate,simple,baseline,Splitting all the dots in two groups and then focusing on the middle point
Clear Metaphor,,median,elaborate,simple,baseline,The 4th one was very clear that it was counting from both sides even if the animation was long. Stylistically I liked the 3rd one but it wasn't as clear. The 3rd and 4th were less and less clear what the value they were converging to was.
,,median,elaborate,simple,baseline,"The ability to count helps in the 4th one. The 3rd one facilitates that by just color coding, but that's also effective and helpful."
,,median,elaborate,simple,baseline,the animation of the 4th chart makes the transition of median clearer because it shows the steps of finding a median
,,median,elaborate,simple,baseline,The colors really helped separate the high from low values
,,median,elaborate,simple,baseline,the extra movement is very helpful in terms of the idea of median
Clear Metaphor,,median,elaborate,simple,baseline,"The first place one is great here - does median the way i think about median, taking off values from each end of the sorted values. The others are all hard to tell apart from average"
,,median,elaborate,simple,baseline,"The fourth chart is the best int hat it helps the user count the median. The third chart does something similar, but not step by step. The second chart's transition is somewhat useless, but still better than having no transition."
,,median,elaborate,simple,baseline,"The last one is the best since it shows how the work is done, the others are too slow and doesn't feel like much is happening."
,,median,elaborate,simple,baseline,The more visual aid the better and easier to understanding
Clear Metaphor,,median,elaborate,simple,baseline,The one where they bounce towards each other is smy favorite because it shows the idea that the median means being in the middle which means having the same number of points on each side.  The other one with different colored dots was good too.
,,median,elaborate,simple,baseline,"the slightly slower animation shows what's happening since it goes through each point, which makes it describe median better"
,,median,elaborate,simple,baseline,This is similar to the reason of average. The 1st is so good that we can count to the median.
Clear Metaphor,,median,elaborate,simple,baseline,Whether it clearly marks there are same number elements on both sides
,,stdev,elaborate,simple,baseline,1) Whether it clearly marks the average 2) and it's 1 std above not within
,,stdev,elaborate,simple,baseline,1st is good. It shows average and the SD right next to it. 2nd provides a good visual sequence from top to bottom. It expands the graph.
,,stdev,elaborate,simple,baseline,"1st) gives an idea of relation between the deviation from mean and the standard deviation mark.
2nd) gives an idea of equal sides to the deviation around an average, but not correlation between that and the elements individual deviation. 
3rd) fine, but unclear that its not inner-quartile range
4th) no correlation without inference."
,Measure Was Too Confusing,stdev,elaborate,simple,baseline,4th is better than the previous graphs since it at least gives the indication that it's showing standard deviation even though it's not clear if average or median is being used as the center. 3rd is very similar to 4th but the fade out of the points gives the audience some information about from what the standard deviation was calculated. 2nd and 1st are ranked that way because it seems like they do more to showcase how the standard deviation was calculate but i'm not really sure how it's calculated in the first place so...
,,stdev,elaborate,simple,baseline,"Based on my previous preference of average, the last one is clear that we are doing things related to average."
,Measure Was Too Confusing,stdev,elaborate,simple,baseline,"Following my rationale for the average, my 1st choices's bars helped make the intuition correct; similar rationale for 4/3/2 as my average one. However, I don't think any of the animations do a good job of showing how the standard deviation was created."
,,stdev,elaborate,simple,baseline,"Having the lines beneath each dot helps a lot, otherwise isn't clear what operation is being done"
Clear Metaphor,,stdev,elaborate,simple,baseline,I chose #1 and #2 because they were more clearly calculating an average and then showing the same size range on either side of the average line. I think the fact that one half showed up before the other was significant because it made it clear that the area above and below the middle line are different. I chose #3 over #4 because I liked the animation better than nothing.
,Measure Was Too Confusing,stdev,elaborate,simple,baseline,"I didn’t particularly think any were intuitive, because I don’t often see standard deviation represented in charts"
,Measure Was Too Confusing,stdev,elaborate,simple,baseline,"I honestly don't understand std dev enough to comment on its graph, and none of the graphs really helped"
,,stdev,elaborate,simple,baseline,i like extra animation and extra lines in order to understand data
,,stdev,elaborate,simple,baseline,I liked seeing how far each point deviated from the mean before the one standard deviation boxes were drawn.
,,stdev,elaborate,simple,baseline,I ranked them by how much they showed the process of calculating the standard deviation and average. It was also nice that it showed that the length was the same on either side.
,Measure Was Too Confusing,stdev,elaborate,simple,baseline,"I ranked these in order of information they provide about what it is describing. I'm not really sure how standard deviation is normally calculated, so the details they have really help in my understanding of standard deviation."
,,stdev,elaborate,simple,baseline,"I think the 4th one from the left the most because it shows how the data is distributed first, then  describe the standard deviation"
,Measure Was Too Confusing,stdev,elaborate,simple,baseline,I'm honestly not really sure since I don't have a very good idea of what standard deviation is
Clear Metaphor,,stdev,elaborate,simple,baseline,"In this case, I felt that the ""bar chart"" animation really helped demonstrate how the figure was generated."
,,stdev,elaborate,simple,baseline,once again the bars show the values of the points are being considered for the average
,,stdev,elaborate,simple,baseline,"once again, i like the area representation when showing where average is. 

fading and instant change on plot are very hard to see."
Understandable,,stdev,elaborate,simple,baseline,Showing how all the values factor into the average as in the last graph helps the user see what the average mean across the data points. The tilt of the points also allows the user to see why the size of the standard deviation bars are as is.
,,stdev,elaborate,simple,baseline,smooth animation and explicit visual moving from first state to last one
,,stdev,elaborate,simple,baseline,The 1st one first shows the process of finding the mean and than the standard deviation which is nice. The second one is a little more clear than 3rd and 4th but not much better.
Clear Metaphor,,stdev,elaborate,simple,baseline,The animation for calculating the average made that part clear. The double bars showed that it was likely standard deviation or IQR.
,,stdev,elaborate,simple,baseline,"The bars are good to show an average is being calculated, and the transition is helpful to show how the data is being changed."
Clear Metaphor,,stdev,elaborate,simple,baseline,"The fourth graphic's discretization makes average very clear, and the standard deviation logically follows."
,,stdev,elaborate,simple,baseline,"The last transition had a bar chart appear when the points were shown, and they all converged to create the standard deviation plot, so that helped the most with describing one standard deviation with the average. The third transition did not have this bar chart, but had the points converge to that plot, so it is second. The second transition just showed the plot after a brief moment, which did nothing to aid in describing One standard deviation with average, so it came in third. The first transition had no animations, which is worse than the third one for describe one standard deviation, so it came last."
,,stdev,elaborate,simple,baseline,The last two charts are in a tie. They demonstrate how the deviation is formed. The second chart's transition actually has nothing to do with standard deviation. It is basically the same as the first one.
,,stdev,elaborate,simple,baseline,The more visual aid the easier and better to understand
,,stdev,elaborate,simple,baseline,What made the most sense for the standard deviation. Being able to see the standard deviation calculation is nice.
,,sum,elaborate,simple,baseline,"Easy to see why the dots are moving the way they do....the movement tells you an operation is being done on them, and the specific way they move is how: the bars are needed to show they are being stacked on top."
,,sum,elaborate,simple,baseline,"For sum, it's useful to have them collapsing into each other to show aggregation. But reference lines help enormously in either case, as well as multiple smaller transitions that help me stay oriented."
Clear Metaphor,Static is magic,sum,elaborate,simple,baseline,"I chose #1 because I think showing the area under the points makes it much clearer that it is summing the points. #2 was a nice animation but nothing about it made me know immediately that it was a sum like with #1. I still thought it was better than #3 because the lines made me at least somewhat think of the space under the point, which makes me think of the sum. #4 did not have any animation so I just had to guess what was being calculated."
Appealing,,sum,elaborate,simple,baseline,I like how appealing and how it shows the work done.
,,sum,elaborate,simple,baseline,I like the extra lines that aid me with understanding the data
,,sum,elaborate,simple,baseline,I liked being able to follow the dots and seeing that things were being added together
,Static is magic,sum,elaborate,simple,baseline,I think the 1st choice is the only one that shows that it's doing anything regarding sum at all - the others just kind of pull a number out of nowhere that the dots go to
Clear Metaphor,,sum,elaborate,simple,baseline,"it's important that you see the bars ""stacking"" on each other to show the concept of a sum"
,,sum,elaborate,simple,baseline,Seeing everything collapsing is nice. Lack of animation is hard. Only the 1st one shows how the totals collapse clearly to me
Clear Metaphor,,sum,elaborate,simple,baseline,Showing the gird lines of each data points in the last one makes it clear that we are adding each together.
,,sum,elaborate,simple,baseline,Showing the heights of the values as a line brought to attention the fact that we were summing up the values. Showing the differentiation in heights showed how the points were contributing
Clear Metaphor,,sum,elaborate,simple,baseline,Showing the size of each component with a line and then combining them shows visual representation of sum well.
Clear Metaphor,,sum,elaborate,simple,baseline,"Showing the value of each data point as a length and then showing them ""add"" together with the transition  makes the most sense for adding. The 3rd place shows that the y-axis is growing better than the 4th place."
Understandable,,sum,elaborate,simple,baseline,"The 1st choice 'shows' how the data is being summed up, with the 2nd almost accomplishing this as well. The 3rd has some strange behavior when the sum is physically placed lower than the position of the max point (those points collapse downwards into the sum), but the transition still helps associate elements."
Interesting,,sum,elaborate,simple,baseline,The animation for 1st is more interesting it has showed the value of individual data points before collapse them into the aggregated form. Others are less interesting.
Clear Metaphor,,sum,elaborate,simple,baseline,The animation. The first animation you can see all of the points accumulate to make a sum while the rest don't
Clear Metaphor,,sum,elaborate,simple,baseline,"The discretization of the values, followed by the overlaying of the sum value that is visibly the sum of the discrete values."
Understandable,,sum,elaborate,simple,baseline,"The fourth chart display how the values are accumulated, which is a very good transition. The second and third chart looked good, but the transition is not very helpful. But since the transition are not misleading, they are better than the first chart, which has no animation"
Clear Metaphor,,sum,elaborate,simple,baseline,The lines in the first one made it more obvious that were adding all the sums together - although it is still somewhat unclear
,,sum,elaborate,simple,baseline,The points in the 1st and 2nd rank animation look like they are adding instead of averaging together.
Understandable,,sum,elaborate,simple,baseline,"The reason why I placed the last transition as first was because it first transitioned the points into a little bar chart, and then showed another animation merging these points together. This was really cool to see and describes what Sum does well the most. The third transition simply collapsed all of the points and showed a 1-dimensional line graph merge animation, which is what the last transition did but better, which is why it came in second. The second transition simply merged all of the points together and transitioned the axis, which is what the aforementioned two transitions already did but better with the additional line chart animation, so it comes in third. The first transition lacked any transitions at all, which is why it comes last."
Clear Metaphor,,sum,elaborate,simple,baseline,The values look more like they are being counted and summed in front of the viewer
Clear Metaphor,,sum,elaborate,simple,baseline,The way each data point had a line made it easy to see they all had contribution to the ending point. This made it clear that it was a sum.
,,avg,elaborate,simple,static,showing how the top and bottom bars are roughly equal is nice. static transition and moving the dots is easy to miss
,Metaphor Unclear,avg,elaborate,simple,static,The merging dots in the 2nd viz was confusing. The good viz's had additional markings to clarify that this was an average.
Understandable,Couldn't Follow Complex Animations,count,elaborate,simple,static,"1st has discrete, easy to track animations while showing all data points. 2nd shows all data points, which is good, but is a bit confusing because it's rather hard to track all the different data points simultaneously. 3rd is simply switching charts. 4th is confusing because merging all data points into one seem as if it's doing a sum operation."
Clear Metaphor,,count,elaborate,simple,static,"The first one appears to be counting the individual dots, the second one takes all the dots and spaces them evenly. Both are easy to understand but the 1st one, the visualization is more like what i do mentally. I didn't like the 4th because it seems to be merging the dots, not how I visualize counting.e"
Clear Metaphor,,iqr,elaborate,simple,static,"I think the way the colors lay out helps me to understand where does each quartile belong too. Again, I have ranked based on how clean the animations are."
Clear Metaphor,,iqr,elaborate,simple,static,"Like before, showing the full process of finding the interquartile range, like showing the median finding process in 1 is helpful in identifying the calculation being visualized. I liked 2 just as much, the color separation is really helpful. I find the fading in 4 really unhelpful in this case as it just clutters up the graph for a bit."
Clear Metaphor,,median,elaborate,simple,static,I like the counting motion in 1 which is how I usually visualize finding a median. Separating out the top half and bottom half in colors in 2 is much better than the median just appearing. The fading dots in 4 are actually more confusing than the median just showing up in 3.
Clear Metaphor,,median,elaborate,simple,static,The animation of picking the median helped clarify that the new data points shown were for the median.
,Couldn't Follow Complex Animations,stdev,elaborate,simple,static,"4th is just unclear, 3rd - lack of animation is tough to track, 1st and 2nd are about the same"
,Metaphor Unclear,stdev,elaborate,simple,static,"The 3rd and 4th switched here since the 2nd vis seemed like it was making the values up, it didn't look realistic"
Clear Metaphor,,stdev,elaborate,simple,static,The same reason as the previous question. It just came more intuitive to me.
,Annoying,stdev,elaborate,simple,static,The slow fade-outs are just annoying sometimes. Visualizing the bars was by far the most helpful.
Clear Metaphor,Animation Unnecessary,sum,elaborate,simple,static,"1st option: is quite similar to the 2nd one, but it evokes the idea of stacking slightly better. my 4th pick is just sort of confusing what exactly it's doing - seems to be animation for no real good."
,,sum,elaborate,simple,static,How we are treating each dot with its height in the sum
Clear Metaphor,,sum,elaborate,simple,static,"I like to 1st so much. It displays why the numbers are summed up. 2nd is also good since I can see the scale changing, which is helpful to recognize that it is a sum."
Understandable,,sum,elaborate,simple,static,Show the process of the sum is more easy to understand
,Animation Unnecessary,sum,elaborate,static,baseline,"I think besides my the first and the last graph, the transitions in the other two graphs are very misleading and confusing."
Likes Animated Movement,Animation Unnecessary,sum,elaborate,static,baseline,"Seeing the lengths stack up together is good, otherwise no transition is better"
Likes Animated Movement,,sum,elaborate,static,baseline,The graph that I selected 1st place moves so amazingly
,,avg,elaborate,static,simple,The 1st place graph is much more clear than the other two
Likes Animated Movement,Animation Unnecessary,count,elaborate,static,simple,I think it is really smart to accumulate the numbers into the transition to help people understand that it is a count. 2nd is my personal taste as I think it is good to directly show up the count rather than some useless transitions.
,,count,simple,elaborate,baseline,"The transition that put all the dots uniformly along the line.
 The smoothness of the transition / The animation of the transition."
,,sum,elaborate,baseline,simple,"The transition that shows the use of height of each dot.
 Animation speed."
,,max,baseline,elaborate,static,"Whether the transition uses animation.
 The graph need to be concise and clear."
Clear Metaphor,,min,baseline,elaborate,static,"The same as maximum. The use of animation, clearness and conciseness."
,,avg,elaborate,simple,baseline,The information conveyed along the transition. The use of animation.
,,median,elaborate,simple,baseline,The amount of information conveyed during the transition and the amount of animation used.
,,stdev,elaborate,simple,baseline,The amount of information conveyed and the use of animation.
,,iqr,elaborate,simple,baseline,The amount of information conveyed along the transition and the use of animation / color.
Understandable,,count,elaborate,static,simple,"The lines in the dots showed that the was interest in each specific dot, this would be of interest when deciding if this was a count or not. That was the most informative. Each other was less informative."
,Metaphor Unclear,sum,elaborate,static,baseline,"They were all terrible in showing sum. The least terrible was the plot with most detail. Unless we actually count up each value how would we know they are calculating sum. Just guessing. Add some plus signs, add up small values at first then add those values,...something to show you are summing. Or even annotate ""These values are being summed"""
,"Animation Should Be Slower, Animation Should Be Faster",max,static,elaborate,baseline,Plot 3 would have been the best but it was too slow. Plot 1 is fast enough. But may lack detail. The middle plot was too slow and so is useless.
,Animation Should Be Faster,min,static,elaborate,baseline,"Pretty much the same as minimum transitions. The 3rd plot is way too slow and will be annoying to the viewer. The 2nd has more detail but is too slow, the first is okay."
,"Couldn't Follow Complex Animations, Metaphor Unclear",avg,simple,static,baseline,"The 4th is interesting but too distracting. The one I ranked 1st, looks like values converge into the line. It could be convincing that it is calculating average. None of these are obvious that it transitions to the average. Unless we actually count the the values and calculate the average can we trust that this is the average? Most people will be too lazy. But they will believe you if you say it is the average."
,Animation Should Be Faster,median,static,simple,elaborate,"Well the 3rd ranked was the most fun to watch but it didn't quite have animations that were helpful towards the transition. The same with the 2nd, moving the dots to the side aren't helpful. The 1st was fastest and most useful towards the goal. 4th is too slow."
,,stdev,simple,static,baseline,1st ranked because it is most informative and not too slow.
,Measure Was Too Confusing,iqr,static,simple,elaborate,"I don't know what Interquartile Range with Median means. But the transitions with a gradient will always be annoying so that is ranked 4th. The 3rd and second are fun to watch, but I don't think that add to in informing the viewer what the data entails and are distracting."
,,count,elaborate,simple,baseline,"I like the explicit ordering of the points, then an aggregation into a count."
,,sum,elaborate,simple,baseline,"I like the visual use of the vertical lines, and then their aggregation as the scale changes."
,,max,elaborate,baseline,static,The horizontal line through the max point draws attention to the max.
,,min,elaborate,baseline,static,The horizontal line drawn through the min focuses my attention there.
Clear Metaphor,,avg,elaborate,simple,baseline,"The explicit vertical lines show the different weightings by value, which is quite compelling."
,,median,elaborate,simple,baseline,The explicit counting into the center is quite reminiscent of counting on both sides to find the median.
Clear Metaphor,,stdev,elaborate,simple,baseline,"Vertical lines explicitly show sum, which is more evocative of average."
Clear Metaphor,,iqr,elaborate,simple,baseline,"I like the counting in with colors, makes it clear that this is median."
,,count,simple,elaborate,baseline,"the transition animation make the distance between each data point equal, which means that the data point's value would not matter, which means this is the count"
Clear Metaphor,,sum,elaborate,simple,baseline,"Each line in the animation represents the distance between it to the origin point (0), which represents the value. The animation tells me ""adding value together"""
Clear Metaphor,,max,elaborate,baseline,static,"The line represents ""cap"" in my mind, which is the maximum"
Clear Metaphor,,min,elaborate,baseline,static,"Same reason for max, the line represents the bottom line"
,,avg,elaborate,simple,baseline,The line draw from each point to the average line is telling people this is the distance between data points and average.
,,median,simple,elaborate,baseline,The shifting of position tells people they are grouped in to two groups. I think it would be better to show the count inside a group is equal to that of another group
,,stdev,elaborate,simple,baseline,"Same reason for average, the lines drawing from each data point to the average line tells a lot"
,Embellished Animation Unnecessary,iqr,simple,elaborate,baseline,Divide into 4 groups and take the central 2 groups is basically the definition of Interquartile Range with Median. The last one has too much animation I think
,,count,simple,elaborate,static,Ability to map points to semantics of count by retaining the data
,,sum,elaborate,baseline,simple,I liked the transition from a point to a length encoding in the last part
,,max,elaborate,baseline,static,Indication of the intent to max then the gradual change to the value
,,min,elaborate,baseline,static,The indication to min then gradual transition to the encoding
,,avg,elaborate,simple,baseline,It showed the components of the average first then showed a transition to it
,Embellished Animation Unnecessary,median,simple,elaborate,baseline,The transition for the second to last one was more direct. The last one had too much going on
Understandable,,stdev,elaborate,simple,baseline,The ones that showed the components of the calculation were clearer
,Embellished Animation Unnecessary,iqr,elaborate,simple,baseline,The last one had too much action. The second to last was quick but precise
,Static is Magic,count,simple,elaborate,baseline,I like the smooth transition more than the chunky one. The 3rd in the ranking is too slow and the lack of transition is too confusing.
,Metaphor Unclear,sum,baseline,elaborate,simple,It doesn't have any of the confusing lines the 2nd and 3rd ranked ones have. The second ranked one makes more sense than the 3rd. The no transitions was the most confusing.
,Animation Should Be Faster,max,elaborate,static,baseline,"Drawing the line through the max draws attentions to it first, then the other disappear quickly unlike the 3rd ranked one, which disappears so slowly that it gets a bit confusing."
,Animation Should Be Faster,min,elaborate,static,baseline,"The line draws attention to it then the other points disappear quickly, unlike the 3rd ranked choice where it disappears so slowly it is more confusing than the one with no transition."
,"Embellished Animation Unnecessary, Static is Magic",avg,simple,elaborate,baseline,"the bars are too extra, the shrinking is strange without the average line, and no transition doesn't suggest that the two points are averages."
,Couldn't Follow Complex Animations,median,simple,elaborate,baseline,the dropping is distracting and doesn't make it clear that it is the median. The fading out and no transition doesn't make it clear that it is the median.
,Metaphor Unclear,stdev,simple,elaborate,baseline,"the bar chart confuses me, the fading-in and no transition feels like the box is unrelated to the points"
,,iqr,elaborate,simple,baseline,"More time to figure out the colors, boxes feel more related to the points."
