id,animAgg,textAgg,isError,playCount,resetCount,compTime,gender,education,age,vision_deficiency,vision_impairment_description,familiarity-average,familiarity-average-description,familiarity-interquartile-range,familiarity-interquartile-range-description,familiarity-median,familiarity-median-description,familiarity-standard-deviation,familiarity-standard-deviation-description,familiarity-agg-score,familiarity-stat-tool,familiarity-view-chart,familiarity-create-chart,userID,treatment
3,count,max,FALSE,2,2,9301,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
30,stdev,iqr,FALSE,1,0,5681,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
31,sum,sum,FALSE,1,0,3481,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
32,avg,avg,FALSE,1,0,4099,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
33,min,min,FALSE,2,1,5235,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
34,stdev,stdev,FALSE,1,0,3333,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
35,median,avg,FALSE,1,0,4717,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
36,min,min,FALSE,1,0,6484,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
37,sum,max,FALSE,1,0,3679,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
38,stdev,iqr,FALSE,1,0,4469,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
39,avg,avg,FALSE,1,0,3103,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
4,max,sum,FALSE,1,0,5496,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
40,max,count,FALSE,1,0,4168,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
41,count,max,FALSE,1,0,3265,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
42,sum,count,FALSE,1,0,3933,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
43,iqr,iqr,FALSE,1,0,4875,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
44,avg,median,FALSE,1,0,4304,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
45,iqr,stdev,FALSE,1,0,4036,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
46,max,sum,FALSE,1,0,3574,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
47,max,max,FALSE,1,0,3332,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
48,median,median,FALSE,1,0,3431,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
49,sum,sum,FALSE,1,0,3256,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
5,sum,max,FALSE,1,1,5973,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
50,count,count,FALSE,1,0,3337,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
51,median,avg,FALSE,1,0,3706,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
52,count,sum,FALSE,1,0,3350,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
53,stdev,stdev,FALSE,1,0,3503,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
54,median,median,FALSE,1,0,3174,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
55,iqr,stdev,FALSE,1,0,3682,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
56,max,max,FALSE,1,0,3575,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
57,count,max,FALSE,1,0,3385,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
58,max,sum,FALSE,1,0,5458,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
59,stdev,iqr,FALSE,1,0,4178,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
6,iqr,iqr,FALSE,2,1,14123,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
60,sum,count,FALSE,1,0,3847,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
61,avg,median,FALSE,1,0,3245,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
62,max,count,FALSE,1,0,3423,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
63,count,sum,FALSE,1,0,3562,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
64,sum,sum,FALSE,1,0,3310,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
65,stdev,stdev,FALSE,1,0,3653,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
66,iqr,iqr,FALSE,1,0,3474,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
67,avg,avg,FALSE,1,0,3653,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
68,count,count,FALSE,1,0,3268,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
69,median,avg,FALSE,1,0,3820,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
7,max,count,FALSE,2,1,7706,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
70,sum,max,FALSE,1,0,4570,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
71,min,min,FALSE,1,0,3477,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
8,sum,sum,FALSE,2,1,9823,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
9,avg,median,FALSE,2,1,10945,Male,"Some college, no degree",18-24,yes,I have deutoranopia,Know well,The sum of a set of elements divided by the number of elements,IDK,,Know well,The value at the 50th percentile of a distribution,Know well,The sum of the square root of the difference between each point and the mean squared and divided by the number of elements.,6,< 1/w,< 1/d,< 1/m,bI5v4KnrJlMlINwXD55ZB0KcGzK2,simple
0,min,min,FALSE,1,0,5829,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
1,max,max,FALSE,1,0,3674,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
10,stdev,iqr,TRUE,1,0,5766,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
11,iqr,iqr,FALSE,2,1,11160,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
12,sum,count,FALSE,1,1,5063,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
13,avg,median,TRUE,3,2,10050,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
14,median,avg,TRUE,2,1,7181,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
15,max,count,FALSE,1,1,4443,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
16,count,sum,FALSE,1,0,4977,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
17,iqr,stdev,TRUE,2,1,7649,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
18,max,sum,FALSE,1,0,4539,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
19,iqr,stdev,TRUE,1,0,4090,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
2,sum,max,FALSE,2,1,8875,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
20,sum,sum,FALSE,1,0,3366,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
21,min,min,FALSE,1,0,4053,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
22,stdev,stdev,FALSE,1,0,7061,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
23,count,max,TRUE,1,0,3318,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
24,median,median,FALSE,1,0,20957,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
25,sum,count,TRUE,1,0,4451,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
26,stdev,iqr,TRUE,1,0,4166,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
27,max,count,TRUE,1,0,4038,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
28,avg,median,TRUE,1,0,3953,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
29,median,avg,TRUE,1,0,3835,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
3,max,sum,FALSE,1,0,5079,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
30,max,max,FALSE,1,0,3270,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
31,iqr,iqr,FALSE,1,0,3470,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
32,count,count,FALSE,2,1,7517,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
33,avg,avg,FALSE,1,0,5337,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
34,sum,max,FALSE,1,0,3460,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
35,count,sum,FALSE,1,0,5027,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
36,stdev,iqr,TRUE,1,0,3737,Male,"Some college, no degree",18-24,no,,Know,if you add all numbers together then divide by the number of numbers,IDK,,Know,if you remove the largest and smallest number in a set until there is one left,Know,it is how much a number varies from the average,3,< 1/m,< 1/w,< 1/m,bZzl43AYYBZSG1RZxRdgzzBdRph2,baseline
